Epsilon , 	 Path L ,	 Time[s]
0.01 ,	1530 ,	11.944
0.01 ,	1487 ,	10.335
0.01 ,	1577 ,	12.059
0.01 ,	1797 ,	10.765
0.01 ,	1694 ,	7.77
0.01 ,	1489 ,	6.912
0.01 ,	1569 ,	9.89
0.01 ,	1674 ,	9.083
0.01 ,	1987 ,	11.926
0.01 ,	1738 ,	12.216
0.01 ,	1392 ,	9.799
0.01 ,	1696 ,	12.39
0.01 ,	1755 ,	12.423
0.01 ,	1626 ,	10.696
0.01 ,	1998 ,	9.392
0.01 ,	1730 ,	11.918
0.01 ,	1671 ,	9.67
0.01 ,	1652 ,	10.606
0.01 ,	1618 ,	6.6
0.01 ,	1567 ,	8.349
0.01 ,	1758 ,	12.346
0.01 ,	1487 ,	6.925
0.01 ,	1743 ,	12.542
0.01 ,	1676 ,	11.704
0.01 ,	1755 ,	8.16
0.01 ,	1442 ,	6.478
0.01 ,	1705 ,	9.277
0.01 ,	1783 ,	9.846
0.01 ,	1569 ,	8.868
0.01 ,	1657 ,	10.577
0.01 ,	1577 ,	7.081
0.01 ,	1813 ,	12.249
0.01 ,	1472 ,	6.56
0.01 ,	1552 ,	9.214
0.01 ,	1443 ,	7.012
0.01 ,	1654 ,	10.315
0.01 ,	1639 ,	9.994
0.01 ,	1484 ,	6.468
0.01 ,	1673 ,	8.212
0.01 ,	1780 ,	10.441
0.01 ,	1568 ,	7.865
0.01 ,	1599 ,	8.468
0.01 ,	1804 ,	11.704
0.01 ,	1690 ,	10.399
0.01 ,	1731 ,	8.916
0.01 ,	1675 ,	9.276
0.01 ,	1722 ,	9.947
0.01 ,	1679 ,	9.448
0.01 ,	1603 ,	9.917
0.01 ,	1653 ,	9.565
0.01 ,	1833 ,	9.932
0.01 ,	1704 ,	11.895
0.01 ,	1612 ,	10.131
0.01 ,	1597 ,	6.15
0.01 ,	1613 ,	8.441
0.01 ,	1755 ,	11.899
0.01 ,	1670 ,	10.932
0.01 ,	1857 ,	11.621
0.01 ,	1536 ,	10.388
0.01 ,	1637 ,	8.353
0.01 ,	1758 ,	12.739
0.01 ,	1575 ,	9.897
0.01 ,	1652 ,	10.589
0.01 ,	1757 ,	10.644
0.01 ,	1693 ,	7.844
0.01 ,	1654 ,	9.259
0.01 ,	1668 ,	9.444
0.01 ,	1372 ,	7.011
0.01 ,	1634 ,	10.339
0.01 ,	1746 ,	10.135
0.01 ,	1550 ,	7.705
0.01 ,	1488 ,	6.364
0.01 ,	1770 ,	10.017
0.01 ,	1542 ,	8.649
0.01 ,	1699 ,	11.051
0.01 ,	1622 ,	8.508
0.01 ,	1485 ,	5.951
0.01 ,	1674 ,	8.949
0.01 ,	1550 ,	7.279
0.01 ,	1968 ,	6.973
0.01 ,	1453 ,	9.175
0.01 ,	1542 ,	8.948
0.01 ,	1702 ,	11.93
0.01 ,	1683 ,	9.772
0.01 ,	1651 ,	8.874
0.01 ,	1492 ,	6.708
0.01 ,	1799 ,	9.578
0.01 ,	1719 ,	9.28
0.01 ,	1697 ,	9.005
0.01 ,	1788 ,	8.164
0.01 ,	1680 ,	8.626
0.01 ,	1545 ,	7.703
0.01 ,	1664 ,	7.505
0.01 ,	1584 ,	7.577
0.01 ,	1711 ,	9.537
0.01 ,	1408 ,	7.48
0.01 ,	1760 ,	12.435
0.01 ,	1684 ,	9.8
0.01 ,	1779 ,	10.592
0.01 ,	1783 ,	9.18
0.01 ,	1790 ,	10.831
0.01 ,	1784 ,	12.321
0.01 ,	1666 ,	8.994
0.01 ,	1701 ,	9.086
0.01 ,	1793 ,	11.31
0.01 ,	1677 ,	10.887
0.01 ,	1736 ,	10.719
0.01 ,	1579 ,	11.237
0.01 ,	1388 ,	7.497
0.01 ,	1727 ,	10.177
0.01 ,	1735 ,	9.617
0.01 ,	1614 ,	9.414
0.01 ,	1746 ,	9.964
0.01 ,	1746 ,	10.679
0.01 ,	1715 ,	10.648
0.01 ,	1709 ,	10.387
0.01 ,	1760 ,	8.17
0.01 ,	1649 ,	9.577
0.01 ,	1656 ,	7.453
0.01 ,	1698 ,	8.572
0.01 ,	1872 ,	10.864
0.01 ,	1453 ,	5.879
0.01 ,	1671 ,	8.995
0.01 ,	1780 ,	11.746
0.01 ,	1680 ,	9.975
0.01 ,	1784 ,	10.267
0.01 ,	1839 ,	11.638
0.01 ,	1655 ,	9.655
0.01 ,	1616 ,	10.961
0.01 ,	2088 ,	12.316
0.01 ,	2129 ,	12.082
0.01 ,	1732 ,	10.41
0.01 ,	1636 ,	10.038
0.01 ,	1643 ,	9.137
0.01 ,	1746 ,	8.568
0.01 ,	1512 ,	10.068
0.01 ,	1547 ,	10.668
0.01 ,	1766 ,	11.613
0.01 ,	1670 ,	10.517
0.01 ,	1651 ,	9.448
0.01 ,	1756 ,	11.056
0.01 ,	1601 ,	7.988
0.01 ,	1614 ,	7.501
0.01 ,	1668 ,	7.659
0.01 ,	1584 ,	8.465
0.01 ,	1622 ,	10.358
0.01 ,	1453 ,	5.992
0.01 ,	1600 ,	10.06
0.01 ,	2008 ,	9.338
0.01 ,	1642 ,	8.341
0.01 ,	1741 ,	11.488
0.01 ,	1560 ,	7.591
0.01 ,	1551 ,	7.932
0.01 ,	1672 ,	10.522
0.01 ,	1688 ,	9.117
0.01 ,	1660 ,	8.704
0.01 ,	1683 ,	7.245
0.01 ,	1669 ,	9.317
0.01 ,	1644 ,	7.765
0.01 ,	1669 ,	10.232
0.01 ,	1438 ,	9.591
0.01 ,	1454 ,	7.606
0.01 ,	1708 ,	10.668
0.01 ,	1700 ,	9.626
0.01 ,	1518 ,	8.071
0.01 ,	1588 ,	12.238
0.01 ,	1656 ,	8.728
0.01 ,	1923 ,	9.258
0.01 ,	1586 ,	7.811
0.01 ,	1776 ,	11.997
0.01 ,	1816 ,	10.093
0.01 ,	1636 ,	7.097
0.01 ,	1559 ,	7.714
0.01 ,	1639 ,	7.029
0.01 ,	1459 ,	9.98
0.01 ,	1671 ,	9.355
0.01 ,	1682 ,	5.32
0.01 ,	1650 ,	8.697
0.01 ,	1753 ,	11.391
0.01 ,	1653 ,	9.539
0.01 ,	1626 ,	8.19
0.01 ,	1662 ,	9.505
0.01 ,	1565 ,	9.941
0.01 ,	1707 ,	10.679
0.01 ,	1898 ,	7.448
0.01 ,	1786 ,	12.486
0.01 ,	1583 ,	8.953
0.01 ,	1655 ,	8.989
0.01 ,	1667 ,	8.981
0.01 ,	1740 ,	7.131
0.01 ,	1633 ,	8.76
0.01 ,	1681 ,	10.752
0.01 ,	1667 ,	10.911
